Geneid	Length
gene1032	3200
gene1033	2099
gene1034	2415
gene1035	1186
gene1036	4038
gene1037	5829
gene1038	3746
gene1039	1791
gene1040	2294
gene1041	2634
gene1042	2483
gene1043	1609
gene1044	93
gene1045	3678
gene1046	2169
gene1047	1551
gene1048	1638
gene1049	1270
gene1050	2440
gene1051	1800
gene1052	1502
gene1053	1874
gene1054	327
gene1055	1914
gene1056	1678
gene1057	3326
gene1058	2039
gene1059	2253
gene1060	2713
gene1061	2369
gene1062	1069
gene1063	1348
gene1064	2397
gene1065	1819
gene1066	2464
gene1067	2617
gene1068	2125
gene1069	2382
gene1070	3300
gene1071	1472
gene1072	5141
gene1073	3834
gene1074	2230
gene1075	1827
gene1076	2459
gene1077	2768
gene1078	1200
gene1079	3424
gene1080	1262
gene1081	1801
gene1082	3374
gene1083	1457
gene1084	4763
gene1085	6643
gene1086	2062
gene1087	1728
gene1088	4124
gene1089	3029
gene1090	2255
gene1091	4709
gene1092	2044
gene1093	3394
gene1094	2034
gene1095	2952
gene1096	2857
gene1097	1946
gene1098	1125
gene1099	1810
gene1100	3378
gene1101	1624
gene1102	2415
gene1103	1688
gene1104	4387
gene1105	3571
gene1106	1725
gene1107	3053
gene1108	273
gene1109	2723
gene1110	3469
gene1111	2814
gene1112	2410
gene1113	2217
gene1114	801
gene1115	1044
gene1116	1949
gene1117	1418
gene1118	978
gene1119	781
gene1120	681
gene1121	1880
gene1122	2221
gene1123	1294
gene1124	1226
gene1125	447
gene1126	1581
gene1127	1841
gene1128	1840
gene1129	1582
gene1130	645
gene1131	994
gene1132	6933
gene1133	303
gene1134	1911
gene1135	516
gene1136	2649
gene1137	3095
gene1138	1110
gene1139	3396
gene1140	2207
gene1141	1767
gene1142	4136
gene1143	1178
gene1144	3904
gene1145	3412
gene1146	1388
gene1147	2309
gene1148	813
gene1149	282
gene1150	1589
gene1151	201
gene1152	339
gene1153	513
gene1154	2324
gene1155	660
gene1156	2618
gene1157	3630
gene1158	2501
gene1159	999
gene1160	2292
gene1161	1761
gene1162	772
gene1163	1254
gene1164	2589
gene1165	1851
gene1166	2294
gene1167	1958
gene1168	2731
gene1169	1714
gene1170	983
gene1171	4430
gene1172	858
gene1173	3129
gene1174	2293
gene1175	1294
gene1176	2023
gene1177	1965
gene1178	1405
gene1179	1281
gene1180	1645
gene1181	1519
gene1182	2618
gene1183	1209
gene1184	2091
gene1185	2250
gene1186	1849
gene1187	2466
gene1188	2476
gene1189	3504
gene1190	6346
gene1191	1885
gene1192	1964
gene1193	2438
gene1194	1682
gene1195	1597
gene1196	4271
gene1197	1874
gene1198	89
gene1199	3433
gene1200	1033
gene1201	92
gene1202	2379
gene1203	1633
gene1204	1516
gene1205	1921
gene1206	1133
gene1207	7216
gene1208	3563
gene1209	3055
gene1210	2920
gene1211	1856
gene1212	2989
gene1213	336
gene1214	2303
gene1215	2679
gene1216	2345
gene1217	2291
gene1218	1143
gene1219	3237
gene1220	1987
gene1221	2146
gene1222	1912
gene1223	2946
gene1224	1827
gene1225	2946
gene1226	2394
gene1227	2794
gene1228	2840
gene1229	5399
gene1230	495
gene1231	3328
gene1232	5521
gene1233	3040
gene1234	1857
gene1235	2790
gene1236	2883
gene1237	2890
gene1238	1932
gene1239	1541
gene1240	1228
gene1241	4294
gene1242	2162
gene1243	838
gene1244	1993
gene1245	1897
gene1246	2110
gene1247	2885
gene1248	1568
gene1249	1436
gene1250	71
gene1251	1079
gene1252	1516
gene1253	1749
gene1254	2083
gene1255	399
gene1256	1319
gene1257	2015
gene1258	3398
gene1259	906
gene1260	2832
gene1261	3118
gene1262	3676
gene1263	2975
gene1264	98
gene1265	1869
gene1266	1548
gene1267	2410
gene1268	1716
gene1269	2591
gene1270	2638
gene1271	4991
gene1272	1134
gene1273	2155
gene1274	2356
gene1275	1054
gene1276	1063
gene1277	2483
gene1278	1290
gene1279	3482
gene1280	2225
gene1281	1637
gene1282	2022
gene1283	816
gene1284	1453
gene1285	2064
gene1286	3605
gene1287	919
gene1288	1945
gene1289	1801
gene1290	1894
gene1291	2299
gene1292	2575
gene1293	1701
gene1294	2274
gene1295	2618
gene1296	1252
gene1297	1919
gene1298	2820
gene1299	630
gene1300	3745
gene1301	729
gene1302	3749
gene1303	1286
gene1304	913
gene1305	2689
gene1306	5392
gene1307	2789
gene1308	2390
gene1309	3005
gene1310	2912
gene1311	3982
gene1312	623
gene1313	2077
gene1314	4078
gene1315	1708
gene1316	5000
gene1317	2595
gene1318	1358
gene1319	2391
gene1320	1233
gene1321	1152
gene1322	417
gene1323	2240
gene1324	2626
gene1325	3408
gene1326	1078
gene1327	2934
gene1328	2543
gene1329	2446
gene1330	2020
gene1331	894
gene1332	2310
gene1333	2340
gene1334	2660
gene1335	1484
gene1336	2137
gene1337	1929
gene1338	1610
gene1339	2846
gene1340	1000
gene1341	2368
gene1342	3700
gene1343	862
gene1344	798
gene1345	2320
gene1346	900
gene1347	978
gene1348	1890
gene1349	2328
gene1350	1209
gene1351	3241
gene1352	3360
gene1353	1046
gene1354	4363
gene1355	1164
gene1356	8417
gene1357	2685
gene1358	1758
gene1359	841
gene1360	1552
gene1361	4871
gene1362	2502
gene1363	3193
gene1364	2652
gene1365	1335
gene1366	2004
gene1367	3514
gene1368	72
gene1369	959
gene1370	2707
gene1371	2133
gene1372	3184
gene1373	1253
gene1374	1971
gene1375	92
gene1376	845
gene1377	2999
gene1378	1086
gene1379	5239
gene1380	342
gene1381	3415
gene1382	2350
gene1383	924
gene1384	1969
gene1385	1511
gene1386	1280
gene1387	1988
gene1388	618
gene1389	1554
gene1390	2322
gene1391	2881
gene1392	2130
gene1393	2667
gene1394	1148
gene1395	1547
gene1396	2782
gene1397	1757
gene1398	4291
gene1399	2115
gene1400	1491
gene1401	3157
gene1402	1560
gene1403	3164
gene1404	4534
gene1405	3994
gene1406	2320
gene1407	1565
gene1408	1441
gene1409	3646
gene1410	2264
gene1411	2018
gene1412	1703
gene1413	2481
gene1414	2685
gene1415	2168
gene1416	327
gene1417	2086
gene1418	3524
gene1419	544
gene1420	3533
gene1421	4673
gene1422	2118
gene1423	1949
gene1424	4202
gene1425	2465
gene1426	1036
gene1427	72
gene1428	3483
gene1429	2853
gene1430	2475
gene1431	2188
gene1432	3483
gene1433	3343
gene1434	2248
gene1435	1082
gene1436	1467
gene1437	1079
gene1438	1249
gene1439	1731
gene1440	4222
gene1441	6492
gene1442	2680
gene1443	2215
gene1444	1006
gene1445	2174
gene1446	1870
gene1447	1083
gene1448	1798
gene1449	2392
gene1450	3767
gene1451	2815
gene1452	4597
gene1453	2015
gene1454	4248
gene1455	878
gene1456	2591
gene1457	1705
gene1458	1461
gene1459	2210
gene1460	2101
gene1461	3657
gene1462	2207
gene1463	2017
gene1464	2234
gene1465	4223
gene1466	908
gene1467	6960
gene1468	3993
gene1469	2291
gene1470	1978
gene1471	2266
gene1472	4159
gene1473	585
gene1474	2169
gene1475	1032
gene1476	4223
gene1477	1735
gene1478	1838
gene1479	2086
gene1480	4292
gene1481	2081
gene1482	4187
gene1483	806
gene1484	2902
gene1485	1380
gene1486	4586
gene1487	4372
gene1488	195
gene1489	4226
gene1490	3521
gene1491	2731
gene1492	1664
gene1493	2195
gene1494	2409
gene1495	799
gene1496	2244
gene1497	979
gene1498	3388
gene1499	2452
gene1500	2441
gene1501	7663
gene1502	558
gene1503	2820
gene1504	3128
gene1505	1510
gene1506	630
gene1507	528
gene1508	1806
gene1509	3934
gene1510	1809
gene1511	3069
gene1512	1335
gene1513	1520
gene1514	1922
gene1515	2687
gene1516	1504
gene1517	1944
gene1518	2058
gene1519	4246
gene1520	3621
gene1521	71
gene1522	860
gene1523	2217
gene1524	960
gene1525	1140
gene1526	1930
gene1527	5013
gene1528	1176
gene1529	96
gene1530	1861
gene1531	1637
gene1532	3682
gene1533	1088
gene1534	267
gene1535	507
gene1536	71
gene1537	2005
gene1538	1880
gene1539	99
gene1540	1547
gene1541	2502
gene1542	3139
gene1543	2649
gene1544	2475
gene1545	1631
gene1546	529
gene1547	2005
gene1548	1920
gene1549	2106
gene1550	1872
gene1551	1473
gene1552	96
gene1553	3037
gene1554	1077
gene1555	2756
gene1556	2243
gene1557	92
gene1558	92
gene1559	3001
gene1560	1485
gene1561	375
gene1562	511
gene1563	2056
gene1564	2241
gene1565	983
gene1566	1157
gene1567	2111
gene1568	3647
gene1569	2667
gene1570	1250
gene1571	1259
gene1572	2230
gene1573	918
gene1574	3758
gene1575	1380
gene1576	89
gene1577	1446
gene1578	2245
gene1579	2156
gene1580	1454
gene1581	1347
gene1582	2123
gene1583	1014
gene1584	945
gene1585	2383
gene1586	3830
gene1587	735
gene1588	1232
gene1589	1841
gene1590	1256
gene1591	4238
gene1592	1802
gene1593	6006
gene1594	408
gene1595	624
gene1596	2009
gene1597	2436
gene1598	2560
gene1599	2682
gene1600	3337
gene1601	2096
gene1602	1967
gene1603	1157
gene1604	2123
gene1605	2289
gene1606	9522
gene1607	414
gene1608	580
gene1609	936
gene1610	3109
gene1611	1950
gene1612	2524
gene1613	2894
gene1614	1458
gene1615	829
gene1616	1273
gene1617	5208
gene1618	564
gene1619	2905
gene1620	6821
gene1621	2451
gene1622	2266
gene1623	2049
gene1624	2766
gene1625	527
gene1626	1058
gene1627	2139
gene1628	2275
gene1629	1044
gene1630	5182
gene1631	2557
gene1632	4510
gene1633	101
gene1634	2763
gene1635	2231
gene1636	1879
gene1637	1982
gene1638	1268
gene1639	354
gene1640	1192
gene1641	99
gene1642	2909
gene1643	3254
gene1644	2832
gene1645	2199
gene1646	2810
gene1647	3223
gene1648	2897
gene1649	4901
gene1650	2345
gene1651	1952
gene1652	3547
gene1653	399
gene1654	2309
gene1655	2714
gene1656	2266
gene1657	1472
gene1658	3365
gene1659	4486
gene1660	2663
gene1661	3084
gene1662	2299
gene1663	3514
gene1664	2974
gene1665	1835
gene1666	2488
gene1667	2154
gene1668	3701
gene1669	109
gene1670	3728
gene1671	3008
gene1672	2126
gene1673	1278
gene1674	2035
gene1675	1238
gene1676	107
gene1677	1659
gene1678	1500
gene1679	1947
gene1680	672
gene1681	2189
gene1682	2079
gene1683	3272
gene1684	2731
gene1685	1061
gene1686	92
gene1687	883
gene1688	2440
gene1689	1608
gene1690	5160
gene1691	1505
gene1692	1056
gene1693	936
gene1694	2334
gene1695	3263
gene1696	1716
gene1697	2798
gene1698	1728
gene1699	2220
gene1700	1311
gene1701	2885
gene1702	2326
gene1703	73
gene1704	1476
gene1705	2093
gene1706	2067
gene1707	2282
gene1708	1853
gene1709	652
gene1710	676
gene1711	1310
gene1712	72
gene1713	1712
gene1714	825
gene1715	987
gene1716	333
gene1717	824
gene1718	1127
gene1719	2332
gene1720	1423
gene1721	2612
gene1722	3069
gene1723	1674
gene1724	2320
gene1725	1695
gene1726	116
gene1727	387
gene1728	1347
gene1729	2328
gene1730	1029
gene1731	1769
gene1732	1600
gene1733	1354
gene1734	2288
gene1735	1858
gene1736	7245
gene1737	2495
gene1738	2922
gene1739	1756
gene1740	2499
gene1741	1326
gene1742	2260
gene1743	1673
gene1744	2442
gene1745	3106
gene1746	1735
gene1747	1828
gene1748	2501
gene1749	564
gene1750	2203
gene1751	2040
gene1752	148
gene1753	3119
gene1754	2115
gene1755	2467
gene1756	2120
gene1757	3793
gene1758	2540
gene1759	1864
gene1760	101
gene1761	369
gene1762	89
gene1763	717
gene1764	89
gene1765	2998
gene1766	1226
gene1767	222
gene1768	2134
gene1769	1623
gene1770	3050
gene1771	288
gene1772	2557
gene1773	4166
gene1774	1585
gene1775	1973
gene1776	3643
gene1777	1918
gene1778	2408
gene1779	930
gene1780	3687
gene1781	1886
gene1782	3308
gene1783	4113
gene1784	3746
gene1785	3148
gene1786	1613
gene1787	2094
gene1788	3070
gene1789	288
gene1790	943
gene1791	1800
gene1792	290
gene1793	1448
gene1794	1469
gene1795	2621
gene1796	3512
gene1797	2031
gene1798	2527
gene1799	2237
gene1800	1419
gene1801	3324
gene1802	2877
gene1803	6023
gene1804	2315
gene1805	1425
gene1806	459
gene1807	411
gene1808	1018
gene1809	1888
gene1810	549
gene1811	3891
gene1812	2006
gene1813	4246
gene1814	351
gene1815	3637
gene1816	2922
gene1817	1056
gene1818	351
gene1819	3374
gene1820	2646
gene1821	1664
gene1822	465
gene1823	1668
gene1824	2111
gene1825	573
gene1826	1825
gene1827	2291
gene1828	861
gene1829	1077
gene1830	944
gene1831	2659
gene1832	5726
gene1833	2153
gene1834	3594
gene1835	3442
gene1836	372
gene1837	2649
gene1838	2383
gene1839	1585
gene1840	1017
gene1841	2056
gene1842	974
gene1843	1536
gene1844	3128
gene1845	1416
gene1846	2445
gene1847	1635
gene1848	1148
gene1849	2087
gene1850	2058
gene1851	2327
gene1852	1466
gene1853	3634
gene1854	2775
gene1855	1851
gene1856	1935
gene1857	306
gene1858	348
gene1859	5939
gene1860	1101
gene1861	1423
gene1862	2085
gene1863	1594
gene1864	2334
gene1865	1774
gene1866	4608
gene1867	2656
gene1868	1842
gene1869	2588
gene1870	646
gene1871	1774
gene1872	961
gene1873	828
gene1874	552
gene1875	1335
gene1876	2828
gene1877	1915
gene1878	1419
gene1879	4467
gene1880	1969
gene1881	3746
gene1882	2270
gene1883	3378
gene1884	1412
gene1885	2276
gene1886	3839
gene1887	3344
gene1888	3202
gene1889	1844
gene1890	3993
gene1891	3194
gene1892	2504
gene1893	2850
gene1894	4444
gene1895	2357
gene1896	1911
gene1897	2439
gene1898	2288
gene1899	549
gene1900	1727
gene1901	4532
gene1902	3009
gene1903	2771
gene1904	8873
gene1905	894
gene1906	1814
gene1907	4911
gene1908	1249
gene1909	2290
gene1910	2309
gene1911	3344
gene1912	1229
